Country	Region	NumberOfBooks	Gender	meanScore
Indonesia	ASIA (EX. NEAR EAST)	201-500 books	Female	414.37297594936706
Ireland	WESTERN EUROPE	201-500 books	Male	560.1843381381382
Ireland	WESTERN EUROPE	11-25 books	Male	479.52518596059116
Ireland	WESTERN EUROPE	201-500 books	Female	538.2885525179856
Ireland	WESTERN EUROPE	26-100 books	Female	488.4582695187166
Ireland	WESTERN EUROPE	More than 500 books	Female	554.6000526011561
Ireland	WESTERN EUROPE	0-10 books	Female	417.8635662162162
Ireland	WESTERN EUROPE	0-10 books	Male	442.1853497340426
Ireland	WESTERN EUROPE	26-100 books	Male	507.4504862660944
Ireland	WESTERN EUROPE	11-25 books	Female	456.0963214285714
Ireland	WESTERN EUROPE	101-200 books	Male	538.9765945945946
Ireland	WESTERN EUROPE	More than 500 books	Male	561.0961885057471
Ireland	WESTERN EUROPE	101-200 books	Female	514.979961508704
Israel	NEAR EAST	0-10 books	Male	412.3524278195489
Israel	NEAR EAST	101-200 books	Male	497.1819856041131
Israel	NEAR EAST	11-25 books	Female	421.5354972727273
Israel	NEAR EAST	More than 500 books	Female	496.6499016447368
Israel	NEAR EAST	11-25 books	Male	452.84279065155806
Israel	NEAR EAST	201-500 books	Female	497.9581115196078
Israel	NEAR EAST	0-10 books	Female	409.8159553113553
Israel	NEAR EAST	More than 500 books	Male	520.3562436123348
Israel	NEAR EAST	26-100 books	Male	482.0128598425197
Israel	NEAR EAST	201-500 books	Male	527.006517472119
Israel	NEAR EAST	101-200 books	Female	481.90439474835887
Israel	NEAR EAST	26-100 books	Female	463.1410467800729
Italy	WESTERN EUROPE	0-10 books	Male	444.39567760910813
Italy	WESTERN EUROPE	26-100 books	Male	503.4038325581395
Italy	WESTERN EUROPE	201-500 books	Male	548.7976780295047
Italy	WESTERN EUROPE	26-100 books	Female	482.04353
Italy	WESTERN EUROPE	101-200 books	Female	502.95874863201095
Italy	WESTERN EUROPE	101-200 books	Male	529.1876015373078
Italy	WESTERN EUROPE	More than 500 books	Female	524.9730984020185
Italy	WESTERN EUROPE	201-500 books	Female	519.0379527921164
Italy	WESTERN EUROPE	More than 500 books	Male	539.4447899318698
Italy	WESTERN EUROPE	0-10 books	Female	421.4939638366818
Italy	WESTERN EUROPE	11-25 books	Male	471.5537516620499
Italy	WESTERN EUROPE	11-25 books	Female	448.08001601343784
Japan	ASIA (EX. NEAR EAST)	More than 500 books	Female	554.3239214611872
Japan	ASIA (EX. NEAR EAST)	More than 500 books	Male	573.9698136807817
Japan	ASIA (EX. NEAR EAST)	26-100 books	Male	548.7747451523546
Japan	ASIA (EX. NEAR EAST)	11-25 books	Female	506.7988089156627
Japan	ASIA (EX. NEAR EAST)	26-100 books	Female	529.242576936937
Japan	ASIA (EX. NEAR EAST)	101-200 books	Male	553.2533006201551
Japan	ASIA (EX. NEAR EAST)	101-200 books	Female	539.92769038817
Japan	ASIA (EX. NEAR EAST)	0-10 books	Male	486.4672099630996
Japan	ASIA (EX. NEAR EAST)	201-500 books	Male	576.126106043956
Japan	ASIA (EX. NEAR EAST)	201-500 books	Female	555.3625557544757
Japan	ASIA (EX. NEAR EAST)	11-25 books	Male	523.4549987277354
Japan	ASIA (EX. NEAR EAST)	0-10 books	Female	464.6855322368421
Jordan	NEAR EAST	26-100 books	Male	394.27208659658345
Jordan	NEAR EAST	0-10 books	Male	360.03802968906723
Jordan	NEAR EAST	101-200 books	Male	406.93866392857143
Jordan	NEAR EAST	0-10 books	Female	378.8900384823848
Jordan	NEAR EAST	101-200 books	Female	418.0561701694915
Jordan	NEAR EAST	26-100 books	Female	407.4766658198614
Jordan	NEAR EAST	11-25 books	Male	372.406797012987
Jordan	NEAR EAST	201-500 books	Female	410.49763430656935
Jordan	NEAR EAST	More than 500 books	Female	406.25065037593987
Jordan	NEAR EAST	201-500 books	Male	433.5480219298246
Jordan	NEAR EAST	More than 500 books	Male	378.4028726775956
Jordan	NEAR EAST	11-25 books	Female	392.57806282828284
Kazakhstan	C.W. OF IND. STATES	26-100 books	Male	445.54381724581725
Kazakhstan	C.W. OF IND. STATES	101-200 books	Male	459.13439240924095
Kazakhstan	C.W. OF IND. STATES	11-25 books	Male	416.0696951080774
Kazakhstan	C.W. OF IND. STATES	More than 500 books	Female	446.1758603773585
Kazakhstan	C.W. OF IND. STATES	26-100 books	Female	439.65138955078123
Kazakhstan	C.W. OF IND. STATES	0-10 books	Male	412.8026042519685
Kazakhstan	C.W. OF IND. STATES	More than 500 books	Male	460.16727692307694
Kazakhstan	C.W. OF IND. STATES	11-25 books	Female	415.0256123039807
Kazakhstan	C.W. OF IND. STATES	101-200 books	Female	444.5587021538461
Kazakhstan	C.W. OF IND. STATES	201-500 books	Male	462.52398514285716
Kazakhstan	C.W. OF IND. STATES	0-10 books	Female	413.4640165501165
Kazakhstan	C.W. OF IND. STATES	201-500 books	Female	462.169429245283
Latvia	BALTICS	101-200 books	Male	518.5460351351352
Latvia	BALTICS	11-25 books	Male	465.1760855555556
Latvia	BALTICS	101-200 books	Female	517.286986835443
Latvia	BALTICS	26-100 books	Male	496.34626270053474
Latvia	BALTICS	11-25 books	Female	458.8231804945055
Latvia	BALTICS	201-500 books	Male	537.9096955645161
Latvia	BALTICS	More than 500 books	Male	525.1619071428571
Latvia	BALTICS	201-500 books	Female	538.8695073954984
Latvia	BALTICS	0-10 books	Female	452.25136428571426
Latvia	BALTICS	0-10 books	Male	445.5292949579832
Latvia	BALTICS	More than 500 books	Female	530.7753972826087
Latvia	BALTICS	26-100 books	Female	488.84723232462176
Liechtenstein	WESTERN EUROPE	26-100 books	Male	541.4122125
Liechtenstein	WESTERN EUROPE	0-10 books	Male	481.5253222222222
Liechtenstein	WESTERN EUROPE	0-10 books	Female	431.78583333333336
Liechtenstein	WESTERN EUROPE	11-25 books	Male	521.3214625
Liechtenstein	WESTERN EUROPE	26-100 books	Female	526.9324292682927
Liechtenstein	WESTERN EUROPE	More than 500 books	Female	584.0132153846154
Liechtenstein	WESTERN EUROPE	101-200 books	Female	509.6166794871795
Liechtenstein	WESTERN EUROPE	201-500 books	Male	611.4843727272728
Liechtenstein	WESTERN EUROPE	More than 500 books	Male	567.0061375
Liechtenstein	WESTERN EUROPE	201-500 books	Female	568.856125
Liechtenstein	WESTERN EUROPE	11-25 books	Female	498.699175
Liechtenstein	WESTERN EUROPE	101-200 books	Male	574.3703606060606
Lithuania	BALTICS	11-25 books	Male	459.5978629489603
Lithuania	BALTICS	11-25 books	Female	446.0845031862745
Lithuania	BALTICS	101-200 books	Female	511.61021666666664
Lithuania	BALTICS	201-500 books	Female	526.4743852112676
Lithuania	BALTICS	101-200 books	Male	520.9870064935064
Lithuania	BALTICS	201-500 books	Male	531.6850362573099
Lithuania	BALTICS	0-10 books	Female	417.9269429906542
Lithuania	BALTICS	0-10 books	Male	425.56946286919833
Lithuania	BALTICS	More than 500 books	Male	498.59517837837836
Lithuania	BALTICS	More than 500 books	Female	515.1217319672131
Lithuania	BALTICS	26-100 books	Female	483.4330542199489
Lithuania	BALTICS	26-100 books	Male	496.23584803370784
Luxembourg	WESTERN EUROPE	201-500 books	Male	551.0528544364508
Luxembourg	WESTERN EUROPE	101-200 books	Female	487.41211741935484
Luxembourg	WESTERN EUROPE	26-100 books	Male	483.5528915721232
Luxembourg	WESTERN EUROPE	201-500 books	Female	524.6638651020409
Luxembourg	WESTERN EUROPE	101-200 books	Male	519.0946866197183
Luxembourg	WESTERN EUROPE	More than 500 books	Male	555.1018170081967
Luxembourg	WESTERN EUROPE	More than 500 books	Female	536.0192718826406
Luxembourg	WESTERN EUROPE	26-100 books	Female	455.9102917557252
Luxembourg	WESTERN EUROPE	0-10 books	Male	431.8329856338028
Luxembourg	WESTERN EUROPE	11-25 books	Female	424.05964363057325
Luxembourg	WESTERN EUROPE	11-25 books	Male	458.3351362459547
Luxembourg	WESTERN EUROPE	0-10 books	Female	388.70132683982683
Malaysia	ASIA (EX. NEAR EAST)	26-100 books	Male	432.9275383078731
Malaysia	ASIA (EX. NEAR EAST)	101-200 books	Male	440.4726503184713
Malaysia	ASIA (EX. NEAR EAST)	More than 500 books	Female	441.4140206185567
Malaysia	ASIA (EX. NEAR EAST)	26-100 books	Female	434.73188234106965
Malaysia	ASIA (EX. NEAR EAST)	101-200 books	Female	445.558095194508
Malaysia	ASIA (EX. NEAR EAST)	More than 500 books	Male	435.98908372093024
Malaysia	ASIA (EX. NEAR EAST)	0-10 books	Female	391.7941923076923
Malaysia	ASIA (EX. NEAR EAST)	201-500 books	Male	468.384385625
Malaysia	ASIA (EX. NEAR EAST)	11-25 books	Female	407.69168218562874
Malaysia	ASIA (EX. NEAR EAST)	11-25 books	Male	398.4202369532428
Malaysia	ASIA (EX. NEAR EAST)	0-10 books	Male	381.45876535211266
Malaysia	ASIA (EX. NEAR EAST)	201-500 books	Female	458.5850842105263
Mexico	LATIN AMER. & CARIB	0-10 books	Female	400.234506401249
Mexico	LATIN AMER. & CARIB	201-500 books	Male	471.8564512893983
Mexico	LATIN AMER. & CARIB	0-10 books	Male	413.9159230769231
Mexico	LATIN AMER. & CARIB	101-200 books	Female	438.85968196347034
Mexico	LATIN AMER. & CARIB	More than 500 books	Female	435.61190857142856
Mexico	LATIN AMER. & CARIB	11-25 books	Female	412.8493515907137
Mexico	LATIN AMER. & CARIB	11-25 books	Male	425.7952625413321
Mexico	LATIN AMER. & CARIB	More than 500 books	Male	457.2010233502538
Mexico	LATIN AMER. & CARIB	101-200 books	Male	460.02323761348896
Mexico	LATIN AMER. & CARIB	26-100 books	Female	431.13238184596577
Mexico	LATIN AMER. & CARIB	201-500 books	Female	451.26475687203794
Mexico	LATIN AMER. & CARIB	26-100 books	Male	448.4102402565016
Netherlands	WESTERN EUROPE	0-10 books	Male	473.0715796680498
Netherlands	WESTERN EUROPE	101-200 books	Female	533.103952631579
Netherlands	WESTERN EUROPE	More than 500 books	Female	580.2463575342466
Netherlands	WESTERN EUROPE	More than 500 books	Male	559.7827136986301
Netherlands	WESTERN EUROPE	26-100 books	Female	512.56282340764335
Netherlands	WESTERN EUROPE	0-10 books	Female	464.61572238372094
